pid;Anrede;PLZ;Ort;idPersonenTyp;import
36078;2;0000;Tokyo;1;0
36082;2;3097;Liebefeld;1;0
36083;3;3000;Bern;1;0
36094;2;3006;Bern;1;0
36111;3;3097;Liebefeld;1;0
36134;2;5084;Rheinsulz;1;0
36135;3;3013;Bern;1;0
36136;3;3027;Bern;1;0
36157;3;3000;Bern 7;1;0
36158;2;3014;Bern;1;0
36337;3;8545;Rickenbach ZH;1;0
36338;2;00000;Rom;1;0
36340;2;4553;Subingen;1;0
36349;3;3072;Ostermundigen;1;0
36350;3;3018;Bern;1;0
36351;3;3860;Meiringen;1;0
36364;3;3612;Steffisburg;1;0
36373;2;0000;0000000000;1;0
36376;3;3267;Seedorf;1;0
36384;3;2502;Biel/Bienne;1;0
36392;2;3032;Hinterkappelen;1;0
36410;2;3037;Herrenschwanden;1;0
36414;3;3084;Wabern;1;0
36415;3;3006;Bern;1;0
36416;3;2553;Safnern;1;0
36441;2;3018;Bern;1;0
36442;3;6182;Escholzmatt;1;0
36444;2;3014;Bern;1;0
36449;2;3014;Bern;1;0
36459;2;3006;Bern;1;0
36478;2;3032;Hinterkappelen;1;0
36589;2;8057;Zürich;1;0
36597;3;3004;Bern;1;0
36599;3;3005;Bern;1;0
36600;3;3414;Oberburg;1;0
36602;3;1053;Cugy VD;1;0
36605;2;3074;Muri b. Bern;1;0
36612;3;3613;Steffisburg;1;0
36613;2;3014;Bern;1;0
36615;2;3154;Rüschegg Graben;1;0
36616;3;3084;Wabern;1;0
36617;3;3036;Detligen;1;0
36618;2;3005;Bern;1;0
36620;3;3007;Bern;1;0
36627;3;3038;Kirchlindach;1;0
36628;3;3013;Bern;1;0
36636;2;3147;Mittelhäusern;1;0
36638;3;20000;Antwerpen;1;0
36639;3;3063;Ittigen;1;0
36640;2;3073;Gümligen;1;0
36641;3;9000;St. Gallen;1;0
36642;3;3380;Wangen an der Aare;1;0
36644;2;3032;Hinterkappelen;1;0
36645;3;3006;Bern;1;0
36646;2;3027;Bern;1;0
36647;2;3013;Bern;1;0
36648;3;3013;Bern;1;0
36653;3;3302;Moosseedorf;1;0
36654;2;2562;Port;1;0
36657;3;3018;Bern;1;0
36659;3;3110;Münsingen;1;0
36661;3;3012;Bern;1;0
35947;2;3018;Bern;1;0
35948;2;3084;Wabern;1;0
35959;3;6005;Luzern;1;0
35981;2;4952;Eriswil;1;0
35985;2;3008;Bern;1;0
35986;3;3012;Bern;1;0
35987;2;3006;Bern;1;0
36001;2;3013;Bern;1;0
36002;2;3013;Bern;1;0
36007;3;3008;Bern;1;0
36020;2;3604;Thun;1;0
36037;3;8803;Rüschlikon;1;0
36038;2;3007;Bern;1;0
36165;2;3013;Bern;1;0
36181;3;3076;Worb;1;0
36207;3;3014;Bern;1;0
36208;3;3144;Gasel;1;0
36210;2;3006;Bern;1;0
36211;3;3066;Stettlen;1;0
36213;2;3012;Bern;1;0
36218;2;3074;Muri b. Bern;1;0
36221;3;3007;Bern;1;0
36235;2;3250;Lyss;1;0
36237;3;3604;Thun;1;0
36254;3;3004;Bern;1;0
36266;2;3018;Bern;1;0
36268;2;3008;Bern;1;0
36274;2;3122;Kehrsatz;1;0
36275;3;8045;Zürich;1;0
36293;3;2557;Studen;1;0
36297;3;3008;Bern  ;1;0
36307;2;3006;Bern;1;0
36314;2;3074;Muri b. Bern;1;0
36318;3;3027;Bern;1;0
36438;2;3012;Bern;1;0
36490;2;3032;Hinterkappelen;1;0
36491;3;3018;Bern;1;0
36503;3;3302;Moosseedorf;1;0
36504;3;3013;Bern;1;0
36525;2;3018;Bern;1;0
36566;3;3011;Bern;1;0
36598;3;3018;Bern;1;0
36603;2;1266;Duillier;1;0
36604;3;3012;Bern;1;0
36606;3;3011;Bern;1;0
36607;2;9014;St. Gallen;1;0
36619;2;3018;Bern;1;0
36629;2;3006;Bern;1;0
36662;3;3084;Wabern;1;0
36663;2;3115;Gerzensee;1;0
36669;3;3018;Bern;1;0
36670;2;3008;Bern;1;0
36673;2;3005;Bern;1;0
36674;3;3067;Boll;1;0
36675;3;2300;La Chaux-de-Fonds;1;0
36676;2;2502;Biel/Bienne;1;0
36677;2;3013;Bern;1;0
36678;2;3047;Bremgarten b. Bern;1;0
36679;2;3007;Bern;1;0
